,Unnamed: 0,book_name,author,rating_value,rating_num,price_buy_new,price_rent,category,details,rank,tag,tag_in,part_in,asin,asin_url
392,369,Zag: The Number One Strategy of High-Performance Brands,Marty Neumeier,4.6 out of 5,490 ratings,$32.99,Na,Marketing & Sales,"Publisher : New Riders; 1st edition (September 20, 2006)
Language : English
Paperback : 192 pages
ISBN-10 : 0321426770
ISBN-13 : 978-0321426772
Item Weight : 11.1 ounces
Dimensions : 5.35 x 0.65 x 7.9 inches",Na,Na,Na,Na,0321426770,https://www.amazon.com/dp/0321426770/
393,370,Effective Python: 90 Specific Ways to Write Better Python (Effective Software Development Series),Brett Slatkin,4.7 out of 5,374 ratings,$40.86,Na,Programming Languages,"Publisher : Addison-Wesley Professional; 2nd edition (November 15, 2019)
Language : English
Paperback : 480 pages
ISBN-10 : 0134853989
ISBN-13 : 978-0134853987
Item Weight : 1.94 pounds
Dimensions : 7 x 0.9 x 9 inches",Na,Na,Na,Part of: Effective Software Development (13 books),0134853989,https://www.amazon.com/dp/0134853989/
394,371,"Cloud Native AI and Machine Learning on AWS: Use SageMaker for building ML models, automate MLOps, and take advantage of numerous AWS AI services (English Edition)",Premkumar Rangarajan,5 out of 5,1 rating,Na,Na,Computers & Technology,"ASIN : B0BVQV9JBR
Publisher : BPB Publications; 1st edition (February 14, 2023)
Publication date : February 14, 2023
Language : English
File size : 7868 KB
Text-to-Speech : Enabled
Screen Reader : Supported
Enhanced typesetting : Enabled
X-Ray : Not Enabled
Word Wise : Not Enabled
Sticky notes : On Kindle Scribe
Print length : 589 pages",Na,#1 New Release,in Cloud Computing,Na,B0BVQV9JBR,https://www.amazon.com/dp/B0BVQV9JBR/
395,372,Microsoft Project 2019 Step by Step,Carl Chatfield,4.5 out of 5,413 ratings,$32.93,Na,Management & Leadership,"Publisher : Microsoft Press; 1st edition (June 4, 2019)
Language : English
Paperback : 592 pages
ISBN-10 : 1509307427
ISBN-13 : 978-1509307425
Item Weight : 2.12 pounds
Dimensions : 7.4 x 1.3 x 9 inches",Na,Na,Na,Part of: Step by Step (51 books),1509307427,https://www.amazon.com/dp/1509307427/
396,373,"Practical Autodesk AutoCAD 2023 and AutoCAD LT 2023: A beginner's guide to 2D drafting and 3D modeling with Autodesk AutoCAD, 2nd Edition",Yasser Shoukry,4.6 out of 5,5 ratings,$39.99,Na,Graphics & Design,"Publisher : Packt Publishing; 2nd ed. edition (October 28, 2022)
Language : English
Paperback : 674 pages
ISBN-10 : 1801816468
ISBN-13 : 978-1801816465
Item Weight : 2.51 pounds
Dimensions : 7.5 x 1.59 x 9.25 inches",Na,#1 Best Seller,in AutoCAD Books,Na,1801816468,https://www.amazon.com/dp/1801816468/
397,374,"Google Ads (AdWords) Workbook (2023): Advertising on Google Ads, YouTube, & the Display Network (2023 Marketing - Social Media, SEO, & Online Ads Books)",Jason McDonald,4.5 out of 5,186 ratings,$39.99,Na,Marketing & Sales,"ASIN : B0BL4VR5GN
Publisher : Independently published (November 1, 2022)
Language : English
Paperback : 377 pages
ISBN-13 : 979-8361665082
Item Weight : 2.37 pounds
Dimensions : 8.5 x 0.85 x 11 inches",Na,Na,Na,"Part of: 2023 Marketing - Social Media, SEO, & Online Ads Books (4 books)",B0BL4VR5GN,https://www.amazon.com/dp/B0BL4VR5GN/
398,375,R For Dummies,Joris Meys,4.4 out of 5,502 ratings,$19.29,Na,Mathematics,"Publisher : For Dummies; 2nd edition (July 7, 2015)
Language : English
Paperback : 432 pages
ISBN-10 : 1119055806
ISBN-13 : 978-1119055808
Item Weight : 1.25 pounds
Dimensions : 7.4 x 1.1 x 9.1 inches",Na,Na,Na,Na,1119055806,https://www.amazon.com/dp/1119055806/
399,376,Quantum Computing for Everyone (Mit Press),Chris Bernhardt,4.5 out of 5,414 ratings,$18.95,Na,Computer Science,"Publisher : The MIT Press; Reprint edition (September 8, 2020)
Language : English
Paperback : 216 pages
ISBN-10 : 0262539535
ISBN-13 : 978-0262539531
Item Weight : 10.4 ounces
Dimensions : 6.06 x 0.55 x 9 inches",Na,Na,Na,Na,0262539535,https://www.amazon.com/dp/0262539535/
400,377,Learning TypeScript: Enhance Your Web Development Skills Using Type-Safe JavaScript,Josh Goldberg,4.7 out of 5,39 ratings,$38.99,Na,Programming,"Publisher : O'Reilly Media; 1st edition (July 12, 2022)
Language : English
Paperback : 318 pages
ISBN-10 : 1098110331
ISBN-13 : 978-1098110338
Item Weight : 1.13 pounds
Dimensions : 7 x 0.5 x 9.25 inches",Na,Na,Na,Na,1098110331,https://www.amazon.com/dp/1098110331/
401,378,Machine Learning Engineering in Action,Ben Wilson,5 out of 5,10 ratings,$47.99,Na,Computer Science,"Publisher : Manning (April 26, 2022)
Language : English
Paperback : 576 pages
ISBN-10 : 1617298719
ISBN-13 : 978-1617298714
Item Weight : 2.12 pounds
Dimensions : 7.38 x 1.2 x 9.25 inches",Na,Na,Na,Na,1617298719,https://www.amazon.com/dp/1617298719/
