,link,brief,id,price,price_per_unit,address,facilities_key,facilities_value
524,https://propzy.vn/mua/can-ho/hcm/quan-3/id128962,"Bán nhà chung cư 1 phòng ngủ quận 3 nội thất đẹp, vào ở ngay",id128962,"2,1 tỷ","49,64 triệu/m²","Đ.Trần Quốc Thảo, P.9, Q.3, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '1', '42.3m²', 'Đ.Bắc']"
525,https://propzy.vn/mua/nha/hcm/quan-8/id406462,"Bán nhà hẻm Đường Hoài Thanh, Phường 14, Quận 8",id406462,"2,1 tỷ","101,94 triệu/m²","Đ.Hoài Thanh, P.14, Q.8, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '2', '20.6m²', 'Đ.Bắc']"
526,https://propzy.vn/mua/nha/hcm/quan-7/id350293,Bán Nhà Hẻm Thông Thoáng Phường Tân Hưng Quận 7,id350293,"2,1 tỷ","97,22 triệu/m²","Đ.Lê Văn Lương, P.Tân Hưng, Q.7, Hồ Chí Minh","['ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '21.6m²', 'Bắc']"
527,https://propzy.vn/mua/dat-nen/hcm/huyen-binh-chanh/id263229,"Bán đất nền Xã Qui Đức, Huyện Bình Chánh - Sổ hồng riêng chính chủ",id263229,"2,1 tỷ","21,38 triệu/m²","Đ.Hưng Long- Qui Đức, X.Quy Đức, H.Bình Chánh,","['ic ic-acreage', 'ic ic-compass']","['98.2m²', 'Đ.Nam']"
528,https://propzy.vn/mua/dat-nen/hcm/quan-9/id415902,BÁN ĐẤT NỀN VUÔNG VỨC KHU DÂN CƯ BLUE DIAMOND RIVERSIDE PHƯỜNG LONG PHƯỚC QUẬN 9,id415902,"2,1 tỷ","40,77 triệu/m²","Đ.Số 8, P.Long Phước, Q.9, Hồ Chí Minh","['ic ic-acreage', 'ic ic-compass']","['51.5m²', 'Đ.Bắc']"
529,https://propzy.vn/mua/dat-nen/hcm/huyen-binh-chanh/id333105,Bán đất góc Trương Văn Đa đường Xã Tân Nhựt Huyện Bình Chánh,id333105,"2,1 tỷ","10,6 triệu/m²","Đ.Trương Văn Đa, X.Tân Nhựt, H.Bình Chánh,",['ic ic-acreage'],['198m²']
530,https://propzy.vn/mua/can-ho/hcm/quan-8/id270347,Bán căn hộ chung cư An Dương Vương - Điện Lực Phường 16 Quận 8 - Sổ hồng riêng chính chủ,id270347,"2,1 tỷ","29,28 triệu/m²","Đ.An Dương Vương, P.16, Q.8, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['2', '2', '71.7m²', 'Tây']"
531,https://propzy.vn/mua/nha/hcm/quan-binh-thanh/id344893,"Bán nhà hẻm quận Bình Thạnh, - Khu dân cư an ninh, yên tĩnh",id344893,"2,1 tỷ","165,35 triệu/m²","Đ.Hoàng Hoa Thám, P.7, Q.Bình Thạnh, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['2', '2', '12.7m²', 'Tây']"
532,https://propzy.vn/mua/nha/hcm/quan-8/id332603,"Bán nhà riêng mặt tiền đường Nguyễn Duy, Phường 12, Quận 8 - Hướng Bắc",id332603,"2,1 tỷ","94,17 triệu/m²","Đ.Nguyễn Duy, P.12, Q.8, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['2', '1', '22.3m²', 'Bắc']"
533,https://propzy.vn/mua/nha/hcm/quan-phu-nhuan/id386925,CẦN BÁN NHÀ ĐƯỜNG HUỲNH VĂN BÁNH QUẬN PHÚ NHUẬN,id386925,"2,1 tỷ","137,25 triệu/m²","Đ.Huỳnh Văn Bánh, Phường12, Q.Phú Nhuận,","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['2', '1', '15.3m²', 'Đ.Nam']"
534,https://propzy.vn/mua/can-ho/hcm/quan-binh-tan/id397040,Bán Căn Hộ Chung Cư Tecco Town Nguyễn Cửu Phú - Quận Bình Tân,id397040,"2,1 tỷ","25,92 triệu/m²","Đ.Nguyễn Cửu Phú, P.Tân Tạo A, Q.Bình Tân,","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['2', '2', '81m²', 'Đ.Nam']"
